epoch,step,train_loss
2,49,6378.67333984375
4,99,5728.07763671875
7,149,3447.1064453125
9,199,5203.294921875
12,249,2479.684326171875
14,299,2850.23828125
17,349,4131.5712890625
19,399,8230.76953125
